number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 1493|2014-02-20|Instytut Genetyki Sądowej Jolanta Powierska-Czarny|al. Adama Mickiewicza 3/4; 85-071 Bydgoszcz|Instytut Genetyki Sądowej Jolanta Powierska-Czarny|al. Adama Mickiewicza 3/4; 85-071 Bydgoszcz|52 345-84-69| 605-612-886|igs@igs.org.pl|www.igs.org.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania w dziedzinie nauk sądowych (I)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1494|2014-02-20|Uniwersytet Mikołaja Kopernika w Toruniu Collegium Medicum im Ludwika Rydygiera w Bydgoszczy|ul. Jagiellońska 13-15; 85-067 Bydgoszcz|Katedra Medycyny Sądowej|ul. M.Curie-Skłodowskiej 9; 85-094 Bydgoszcz|52 585-35-52||kizmedsad@cm.umk.pl|www.cm.umk.pl|Badania w dziedzinie nauk sądowych (I)|Obiekty i materiały biologiczne przeznaczone do badań
AB 1495|2014-02-18|"Zakład Przetwórstwa Mięsnego ""JBB"" Import-Eksport Józef Bałdyga"|ul. Kościelna 25; 07-437 Łyse|"Zakładowe Laboratorium ZPM ""JBB"" Import-Eksport Józef Bałdyga"|ul. Kościelna 25; 07-437 Łyse|29 764-15-15||laboratorium@jbb.pl||Badania mikrobiologiczne (K) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1496|2014-03-07|Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy|ul. K. Pułaskiego 6/10; 26-600 Radom|Laboratorium Technologii Proekologicznych|ul. K. Pułaskiego 6/10; 26-600 Radom|48 364-42-41||jaroslaw.molenda@itee.radom.pl|www.itee.radom.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Paliwa i materiały smarne
AB 1497|2014-02-24|"Zakład Usług Technicznych ""EKOS"" Anna Śmietanka, Sławomir Mykietyn S.C."|ul. Kolejowa 12/1; 26-670 Pionki|Laboratorium Badań Środowiska|ul. Kolejowa 12/1; 26-670 Pionki|| 663-738-454|lab.pionki@gmail.com||Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1498|2014-02-24|M-LAB Mirosław Pracki|ul. Barcińska 18; 88-170 Pakość|Laboratorium M-LAB|ul. Barcińska 18; 88-170 Pakość|| 607-720-415|mlab@onet.pl|www.m-lab.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1499|2014-04-09|Centrum Onkologii-Instytut im. Marii Skłodowskiej-Curie|ul. Wawelska 15b; 02-034 Warszawa|Zakład Fizyki Medycznej|ul. W. K. Roentgena 5; 02-781 Warszawa|22 546-27-75||p.kukolowicz@zfm.coi.pl|www.zfm.coi.pl|Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Wyposażenie medyczne
AB 1500|2014-03-17|ORKA Sp. z o.o.|ul. Mazańcowicka 36; 43-502 Czechowice-Dziedzice|LABO-VET Weterynaryjne Laboratorium Diagnostyczne|ul. Mazańcowicka 36; 43-502 Czechowice-Dziedzice|32 215-34-39||labo.vet.laboratorium@gmail.com||Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1501|2014-03-17|SYCHTA LABORATORIUM Spółka Jawna|ul. Ofiar Stutthofu 90; 72-010 Police|Laboratorium Badań Palności Materiałów|ul. Ofiar Stutthofu 90; 72-010 Police|91 317-01-61||biuro@sychta.eu|www.sychta.eu|Badania ogniowe (H)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Paliwa i materiały smarne :: Meble :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Drewno
AB 1502|2014-05-26|ArcelorMittal Distribution Solutions Poland Sp. z o.o.|ul. Stalowa 1; 40-610 Katowice|Laboratorium AMDS Kraków|ul. Ujastek 1; 30-969 Kraków|12 378-75-52||maria.rybczynska@arcelormittal.com||Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1503|2014-04-07|Instytut Wysokich Ciśnień Polskiej Akademii Nauk|ul. Sokołowska 29/37; 01-142 Warszawa|Laboratorium Nanostruktur|ul. Sokołowska 29/37; 01-142 Warszawa|22 888-00-06||wlojkowski@gmail.com|w3.labnano.pl|Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Wyroby z tworzyw sztucznych i gumy
AB 1504|2014-04-01|Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.|ul. Pionierów 2; 84-300 Lębork|Laboratorium|ul. Pionierów 23; 84-300 Lębork|59 863-47-74||laboratorium@wodociagi.lebork.pl||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1505|2014-04-11|"Firma Produkcyjno-Usługowa ""IN-BUL"" Mirosław Bulczak"|Migi 3; 83-340 Sierakowice|Laboratorium Badań Nieniszczących i Mechanicznych|Migi 3; 83-340 Sierakowice|58 681-60-12||kj-ndt@inbul.pl|www.inbul.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1507|2014-04-18|2. Regionalna Baza Logistyczna|ul. Marsa 110; 04-470 Warszawa|Laboratorium Środków Minersko-Zaporowych 2. RBLog Skład Hajnówka|Hajnówka ; 17-200 Hajnówka|26 139-80-14||||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Wyposażenie wojskowe, materiały wybuchowe, amunicja
AB 1508|2014-04-14|PŁOSZCZYCA Sp z o.o.|ul. Władysława Grabskiego 6; 32-640 Zator|Laboratorium Badawcze|ul. Władysława Grabskiego 6; 32-640 Zator|33 873-12-72||pomiary@ploszczyca.com|www.ploszczyca.com|Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Wyroby z tworzyw sztucznych i gumy
AB 1509|2014-04-25|"Centrum Ochrony Pracy ""PERFEX"" S.C. Agnieszka Wilant-Tandek, Tomasz Tandek"|ul. Łasaka 5/16; 84-300 Lębork|Laboratorium Badań i Pomiarów Środowiska Pracy PERFEX s.c.|ul. Staromiejska 4/1; 84-300 Lębork|59 862-79-27| 602-376-792|laboratorium@perfex.com.pl|www.perfex.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1510|2014-04-16|AQUILA Września Sp. z o.o.|ul. Objazdowa 6A; 62-300 Września|Laboratorium AQUILA|ul. Objazdowa 6A; 62-300 Września|61 650-19-33||lukasz.graczyk@aquila.vpk.pl|www.aquila.vpk.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Papier, tektura, materiały opakowaniowe
AB 1511|2014-05-13|"Laboratorium Inżynierii Lądowej ""MULTILAB"" Piotr Nowak"|ul. Wspólna 8; 32-300 Olkusz|"Laboratorium Inżynierii Lądowej ""MULTILAB"" Piotr Nowak"|ul. Wspólna 8; 32-300 Olkusz|| 792-922-633|biuro@multilab.com.pl|www.multilab.com.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1512|2014-05-07|Polmlek Sp. z o.o.|ul. Topolowa 1; 11-100 Lidzbark Warmiński|Laboratorium Badania Mleka|ul. Topolowa 1; 11-100 Lidzbark Warmiński|89 521-57-67||lab.lbm@polmlek.com|www.polmlek.com|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K)|Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1513|2014-05-12|P.H.U. PROEURO Sp. z o.o.|ul. Asnyka 9/1; 80-316 Gdańsk|Laboratorium Badań Nieniszczących|ul. Asnyka 9/1; 80-316 Gdańsk|| 607-294-797|k.myslicki@proeuro.pl|www.proeuro.pl|Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1514|2014-06-17|Polska Grupa Górnicza S.A.|ul. Powstańców 30; 40-039 Katowice|Oddział Zakład Elektrociepłownie w Rybniku|ul. Rymera 4; 44-270 Rybnik|32 739-86-00||ec@pgg.pl|www.pgg.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1515|2014-06-02|LABHAL S.J. M.Świder B.Dudek Laboratorium Badań Węgla|ul. Wyzwolenia 2; 41-103 Siemianowice Śląskie|LABHAL S.J. M.Świder B.Dudek Laboratorium Badań Węgla|ul. Wyzwolenia 2; 41-103 Siemianowice Śląskie|32 765-25-55||labhal.sc@gmail.com||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Paliwa i materiały smarne
AB 1516|2014-06-16|LABO-WET Spółka z ograniczoną odpowiedzialnością|ul. Pyrzycka 9A; 70-892 Szczecin|Weterynaryjne Laboratorium Diagnostyczne|ul. Pyrzycka 9A; 70-892 Szczecin|91 462-45-54| 728-801-498|labowet@labowet.pl|www.labowet.pl|Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1517|2014-06-06|SB-LAB Laboratorium Ochrony Środowiska i Środowiska Pracy Bogusław Solecki|ul. Krasińskiego 6; 74-101 Gryfino|SB-LAB Laboratorium Ochrony Środowiska i Środowiska Pracy Bogusław Solecki|ul. Krasińskiego 6; 74-101 Gryfino|| 608-894-642|bsoleckisblab@onet.com.pl|www.sb-lab.pl|Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 1518|2014-07-03|Komenda Wojewódzka Policji w Białymstoku|ul. Sienkiewicza 65; 15-003 Białystok|Laboratorium Kryminalistyczne|ul. Gen. J. Bema 4; 15-369 Białystok|85 670-32-40||naczelnik.wlk.kwp@bk.policja.gov.pl|www.podlaska.policja.gov.pl|Badania w dziedzinie nauk sądowych (I)|Wyroby inne
AB 1520|2014-07-01|Imperial Tobacco Polska S.A.|Jankowice, ul. Przemysłowa 1; 62-080 Tarnowo Podgórne|Laboratorium Chemiczne ITPL|Jankowice, ul. Przemysłowa 1; 62-080 Tarnowo Podgórne|61 816-50-00|||www.imperial-tobacco.com|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Wyroby inne :: Wyroby tytoniowe
AB 1521|2014-06-26|MERK Sp. z o.o.|ul. Kasjopei 8; 80-299 Gdańsk|MERK Sp. z o.o.|ul. Mikołaja Reja 3; 80-404 Gdańsk|| 606-181-530|merklaboratorium@gmail.com|www.merk.com.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1522|2014-07-15|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Łodzi|ul. Irysowa 2; 91-857 Łódź|Wydział Technologii - Laboratorium Drogowe|ul. Irysowa 2; 91-857 Łódź|42 233-96-00||sekretariat_lodz@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1523|2014-07-21|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Lublinie|ul. Ogrodowa 21; 20-075 Lublin|Wydział Technologii - Laboratorium Drogowe|ul. Olszewskiego 1a; 20-481 Lublin|81 749-03-34||sekretariat@lublin.gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1524|2014-07-10|"Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe ""AR"" Andrzej Rosiak"|ul. Pawła Jasienicy 4/3; 70-492 Szczecin|Laboratorium Badań Nieniszczących|ul. Nehringa 73; 71-836 Szczecin|91 424-06-52| 608-360-247|biuro@ar.net.pl|www.ar.net.pl|Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1525|2014-08-18|Uniwersytet Warszawski|ul. Krakowskie Przedmieście 26/28; 00-927 Warszawa|Centrum Nauk Biologiczno-Chemicznych Uniwersytetu Warszawskiego|ul. Żwirki i Wigury 101; 02-089 Warszawa|22 552-65-23||sekretariat@cnbc.uw.edu.pl|www.cnbch.uw.edu.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1526|2014-08-12|SKANSKA S.A.|ul. Gen. Józefa Zajączka 9; 01-518 Warszawa|Zespół Technologii i Laboratoriów, Laboratorium Główne w Rzeszowie|Rudna Mała 17; 36-060 Głogów Małopolski|| 502-747-234|wiktor.borysowicz@skanska.pl|www.skanska.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1527|2014-08-04|BARG Zachód Sp. z o.o.|ul. Dziadoszańska 10; 61-248 Poznań|BARG Zachód Sp. z o.o.|ul. Dziadoszańska 10; 61-248 Poznań|61 875-33-28|||www.barg.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1528|2014-07-30|Megallen Jerzy Kierzkowski|ul. Karmelowa 2; 61-680 Poznań|Megallen Jerzy Kierzkowski|ul. Karmelowa 2; 61-680 Poznań|| 605-145-951|megallen@o2.pl|www.megallen.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1529|2014-09-23|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Szczecinie|ul. Bohaterów Warszawy 33; 70-340 Szczecin|Wydział Technologii - Laboratorium Drogowe|ul. Wiosenna 8; 72-002 Skarbimierzyce|91 886-28-00||sekretariat.wt_ld.szczecin@gddkia.gov.pl||Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1530|2014-09-17|Ośrodek Badawczy Służby Materiałów Pędnych i Smarów|Dębogórze; 84-232 Rumia|Rejonowe Laboratorium Materiałów Pędnych i Smarów|ul. Gdańska 147; 85-915 Bydgoszcz|26 141-34-03||obsmps.lab.byd@ron.mil.pl||Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 1531|2014-08-25|MIKROLAB Spółka z ograniczoną odpowiedzialnością|ul. Lubelska 5/7; 03-802 Warszawa|MIKROLAB Spółka z ograniczoną odpowiedzialnością|ul. Lubelska 5/7; 03-802 Warszawa|22 810-80-17||biuro@mikrolab.waw.pl|www.mikrolab.waw.pl|Badania mikrobiologiczne (K) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby farmaceutyczne :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1532|2014-09-15|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Bydgoszczy|ul. Fordońska 6; 85-085 Bydgoszcz|Wydział Technologii - Laboratorium Drogowe|ul. Nowotoruńska 31; 85-839 Bydgoszcz|52 333-47-00||wtbyd@gddkia.gov.pl|www.gddkia.gov.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1533|2014-10-23|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Opolu|ul. Niedziałkowskiego 6; 45-085 Opole|Wydział Technologii - Laboratorium Drogowe|ul. Żerkowicka 1C; 45-851 Opole|77 474-40-02||ldopole@gddkia.gov.pl||Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1534|2014-09-15|AUTO LAND R.T. Zduniewicz Spółka Jawna|ul. Władysława Łokietka 236; 31-334 Kraków|Laboratorium Badań Szkła|ul. Władysława Łokietka 236; 31-334 Kraków|12 635-11-75| 513-553-305|autoland236@wp.pl||Badania właściwości fizycznych (N)|Szkło i ceramika
AB 1535|2014-10-14|Mostostal Płock S.A.|ul. Targowa 12; 09-400 Płock|Laboratorium Zakładowe|ul. Targowa 12; 09-400 Płock|24 367-11-88| 665-100-742|||Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 1537|2014-09-25|UO-Technologia Sp. z o.o.|Słomczyn 80; 05-600 Grójec|UO-Technologia Laboratorium Grójec|Słomczyn 80; 05-600 Grójec|22 101-28-80||laboratorium@uotechnologia.pl|www.uo-technologia.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1538|2014-11-04|Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział we Wrocławiu|ul. Powstańców Śląskich 186; 53-139 Wrocław|Wydział Technologii - Laboratorium Drogowe|Mokronos Dolny, ul. Drogowców 2; 55-080 Kąty Wrocławskie|71 369-19-00||wt.wroclaw@gddkia.gov.pl||Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane
AB 1539|2014-10-10|ARQUES Sp. z o.o.|ul. Mostowa 9; 64-800 Chodzież|ARQUES Sp. z o.o.|ul. Mostowa 9; 64-800 Chodzież|| 660-489-769|info@arques.pl|www.arques.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 1540|2014-10-22|L-DENT Spółka z ograniczoną odpowiedzialnością spółka komandytowa|ul. Inżynierska 5; 20-484 Lublin|L-DENT Spółka z ograniczoną odpowiedzialnością spółka komandytowa|ul. Inżynierska 5; 20-484 Lublin|81 526-00-08| 694-463-080|laboratorium@l-dent.pl|www.l-dent.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1541|2014-10-24|Stern Weber Polska Krzysztof Błażejczyk|ul. Kosmatki 26; 03-982 Warszawa|Stern Weber Polska Krzysztof Błażejczyk|ul. Kosmatki 26; 03-982 Warszawa|22 395-56-00||sternweber@sternweber.pl|www.sternweber.pl|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1542|2014-11-13|Szpitale Pomorskie Sp. z o.o.|ul. Powstania Styczniowego 1; 81-519 Gdynia|Gdyńskie Centrum Onkologii, Zakład Fizyki Medycznej|ul. Powstania Styczniowego 1; 81-519 Gdynia|58 726-04-12||zfm@szpital-morski.pl|www.szpitalepomorskie.eu|Badania właściwości fizycznych (N)|Wyposażenie medyczne
AB 1543|2014-11-13|Szpital Specjalistyczny im. Henryka Klimontowicza w Gorlicach|ul. Węgierska 21; 38-300 Gorlice|Medyczne Laboratorium Mikrobiologiczne|ul. Więgierska 21; 38-300 Gorlice|18 355-33-27||mikrobiologia@szpital.gorlice.pl|www.szpital.gorlice.pl|Badania mikrobiologiczne (K)|Obiekty i materiały biologiczne przeznaczone do badań
